"","cellulase.ck","cellulase.csd","cellulase.cn","cellulase.t","cellulase.tsd","cellulase.tn","yi","vi"
"73",114,23.4,3,182,27.869478,3,0.4678082386823,0.0218604848766399
"74",114,23.4,3,147,22.509963,3,0.254234138384241,0.0218604848766399
"75",114,23.4,3,163,24.960027,3,0.357551752412267,0.0218604848766399
"76",114,23.4,3,143,21.897447,3,0.226646181865412,0.0218604848766399
"77",124,25.4,3,149,22.816221,3,0.183664740340422,0.0218024625411034
"78",124,25.4,3,149,22.816221,3,0.183664740340422,0.0218024625411034
"79",124,25.4,3,173,26.491317,3,0.333010028892742,0.0218024625411034
"80",124,25.4,3,147,22.509963,3,0.170151021173699,0.0218024625411034
"81",88.2,18.1,3,163,24.960027,3,0.614143237794017,0.0218539530140088
"82",88.2,18.1,3,114,17.456706,3,0.25659148538175,0.0218539530140088
"83",88.2,18.1,3,88.2,13.5059778,3,0,0.0218539530140088
"84",88.2,18.1,3,100,15.3129,3,0.125563222975346,0.0218539530140088
"85",56.9,11.7,3,88.2,13.5059778,3,0.43831162188046,0.0219098931808966
"86",56.9,11.7,3,104,15.925416,3,0.603095558009088,0.0219098931808966
"87",56.9,11.7,3,68.6,10.5046494,3,0.186997193599554,0.0219098931808966
"88",56.9,11.7,3,92.2,14.1184938,3,0.482664789430263,0.0219098931808966
"89",135,27.7,3,135,20.672415,3,0,0.0218498169534929
"90",135,27.7,3,146,22.356834,3,0.078331843269907,0.0218498169534929
"91",135,27.7,3,192,29.400768,3,0.352220593589352,0.0218498169534929
"92",135,27.7,3,200,30.6258,3,0.393042588109607,0.0218498169534929
"93",204,41.8,3,285,43.641765,3,0.334369186424434,0.0218111013914188
"94",204,41.8,3,400,61.2516,3,0.673344553263766,0.0218111013914188
"95",204,41.8,3,400,61.2516,3,0.673344553263766,0.0218111013914188
"96",204,41.8,3,458,70.133082,3,0.808749190269969,0.0218111013914188
"97",177,36.3,3,146,22.356834,3,-0.192543110865493,0.0218360811951854
"98",177,36.3,3,158,24.194382,3,-0.113554699546862,0.0218360811951854
"99",177,36.3,3,188,28.788252,3,0.06029223025612,0.0218360811951854
"100",177,36.3,3,173,26.491317,3,-0.0228581380760502,0.0218360811951854
"101",115,23.6,3,196,30.013284,3,0.533182530867267,0.0218542227782539
"102",115,23.6,3,108,16.537932,3,-0.0628009012390304,0.0218542227782539
"103",115,23.6,3,223,34.147767,3,0.662239643096869,0.0218542227782539
"104",115,23.6,3,185,28.328865,3,0.475423696715075,0.0218542227782539
"105",123,25.2,3,150,22.96935,3,0.198450938723838,0.0218078351710333
"106",123,25.2,3,146,22.356834,3,0.171422266335919,0.0218078351710333
"107",123,25.2,3,192,29.400768,3,0.445311016655364,0.0218078351710333
"108",123,25.2,3,204,31.238316,3,0.505935638471799,0.0218078351710333
"109",84.6,17.3,3,135,20.672415,3,0.467340511826252,0.0217551188495688
"110",84.6,17.3,3,135,20.672415,3,0.467340511826252,0.0217551188495688
"111",84.6,17.3,3,165,25.266285,3,0.668011207288403,0.0217551188495688
"112",84.6,17.3,3,208,31.850832,3,0.89960381308914,0.0217551188495688
"113",80.8,16.6,3,104,15.925416,3,0.252413933614323,0.0218854541394256
"114",80.8,16.6,3,100,15.3129,3,0.213193220461042,0.0218854541394256
"115",80.8,16.6,3,88.5,13.5519165,3,0.0910255864868341,0.0218854541394256
"116",80.8,16.6,3,127,19.447383,3,0.452210120931542,0.0218854541394256
"117",53.8,11,3,88.5,13.5519165,3,0.497729084846145,0.0217509258268653
"118",53.8,11,3,104,15.925416,3,0.659117431973634,0.0217509258268653
"119",53.8,11,3,53.8,8.2383402,3,0,0.0217509258268653
"120",53.8,11,3,76.9,11.7756201,3,0.35723240934386,0.0217509258268653
"121",92.3,20.7,3,112,12,3,0.193454729786288,0.0205920122427564
"122",92.3,20.7,3,81,9.7,3,-0.130594986836368,0.0215457488661971
"123",92.3,20.7,3,74.3,15.4,3,-0.216933189785093,0.0310854665110806
"124",92.3,20.7,3,78.7,16,3,-0.159400986085449,0.0305429443923438
"125",204,5.1,3,303,9.18,3,0.395612811665153,0.000514303336274221
"126",70.3,5.97,3,95.5,4.85,3,0.306354448670065,0.00326361892315576
"127",27.9,2.3,3,64,4.59,3,0.830256394532352,0.00397982785783296
"128",88.3,8.52,3,90.1,7.6,3,0.0201800570043778,0.00547507262533107
"129",77.5,3.21,3,76.6,2.76,3,-0.0116808596127558,0.00100460660386576
"130",68.5,5.51,3,56.8,3.67,3,-0.187297419541074,0.00354835423516632
"131",392,90,4,590,120,4,0.408860697109303,0.0235199586623691
"132",398,140,4,376,64,4,-0.0568628618945432,0.0381766587075019
"133",3.2,0.656,3,3.6,0.5512644,3,0.117783035656383,0.0218244968803333
"134",3.2,0.656,3,4,0.612516,3,0.22314355131421,0.0218244968803333
"135",3.2,0.656,3,4.1,0.6278289,3,0.247836163904581,0.0218244968803333
"136",2.8,0.574,3,3.1,0.4746999,3,0.101782694309942,0.0218244968803333
