control,type,driver,estimate,p.value,sig,value,color
Zero order,Yield,clay,0.117093034,6.94E-05,***,0.117093034,2
Zero order,Yield,SOC,0.006707981,0.820318892,,0.006707981,2
Zero order,Yield,CN,0.190717755,7.14E-11,***,0.190717755,2
Zero order,Yield,pH,-0.127914527,1.37E-05,***,0.127914527,2
Zero order,Yield,biodiversity,0.212834715,3.09E-13,***,0.212834715,3
Zero order,Yield,MBC,0.082052146,0.005386213,**,0.082052146,3
Zero order,Yield,FB,-0.166071743,1.49E-08,***,0.166071743,3
Zero order,SOC,MAT,-0.00419312,0.88926949,,0.00419312,1
Zero order,SOC,MAP,0.043799722,0.145663558,,0.043799722,1
Zero order,SOC,AI,0.041161289,0.171532707,,0.041161289,1
Zero order,SOC,BD,0.064580919,0.031826689,*,0.064580919,2
Zero order,SOC,sand,0.01096963,0.715674597,,0.01096963,2
Zero order,SOC,clay,-0.12837734,1.87E-05,***,0.12837734,2
Zero order,SOC,SOC,0.000567471,0.984966939,,0.000567471,2
Zero order,SOC,CN,0.077706554,0.009764197,**,0.077706554,2
Zero order,SOC,pH,-0.011917649,0.69230666,,0.011917649,2
Zero order,SOC,biodiversity,-0.070915338,0.018391731,*,0.070915338,3
Zero order,SOC,MBC,0.091234651,0.002399933,**,0.091234651,3
Zero order,SOC,FB,-0.063201517,0.035672733,*,0.063201517,3
Zero order,N2O,MAT,0.104881527,0.045838226,*,0.104881527,1
Zero order,N2O,MAP,0.117138179,0.025629968,*,0.117138179,1
Zero order,N2O,AI,0.172999224,0.000933964,***,0.172999224,1
Zero order,N2O,BD,0.046676057,0.375232619,,0.046676057,2
Zero order,N2O,sand,0.178519073,0.000633148,***,0.178519073,2
Zero order,N2O,clay,-0.092670795,0.077846134,,0.092670795,2
Zero order,N2O,SOC,-0.118387459,0.024086743,*,0.118387459,2
Zero order,N2O,CN,-0.116223184,0.026813613,*,0.116223184,2
Zero order,N2O,pH,-0.038973247,0.459142028,,0.038973247,2
Zero order,N2O,biodiversity,0.153594796,0.003349392,**,0.153594796,3
Zero order,N2O,MBC,0.088924449,0.090694072,,0.088924449,3
Zero order,N2O,FB,-0.059116318,0.261261196,,0.059116318,3
Zero order,CH4,MAT,-0.169711748,0.03084721,*,0.169711748,1
Zero order,CH4,MAP,0.020203767,0.798578868,,0.020203767,1
Zero order,CH4,AI,0.166897511,0.033777259,*,0.166897511,1
Zero order,CH4,BD,0.035241843,0.656160517,,0.035241843,2
Zero order,CH4,sand,-0.092455909,0.241933611,,0.092455909,2
Zero order,CH4,clay,-0.021723082,0.783791802,,0.021723082,2
Zero order,CH4,SOC,-0.052015463,0.510944745,,0.052015463,2
Zero order,CH4,CN,0.271038068,0.000485611,***,0.271038068,2
Zero order,CH4,pH,-0.06267643,0.428160841,,0.06267643,2
Zero order,CH4,biodiversity,-0.185838036,0.017900068,*,0.185838036,3
Zero order,CH4,MBC,0.271411,0.000476628,***,0.271411,3
Zero order,CH4,FB,-0.176864487,0.02435608,*,0.176864487,3
Zero order,MWD,MAT,0.034375892,0.506338157,,0.034375892,1
Zero order,MWD,MAP,-0.031751432,0.53935548,,0.031751432,1
Zero order,MWD,AI,-0.106081282,0.039787539,*,0.106081282,1
Zero order,MWD,BD,0.122864304,0.017147395,*,0.122864304,2
Zero order,MWD,sand,-0.005553151,0.914533622,,0.005553151,2
Zero order,MWD,clay,-0.073151236,0.156884028,,0.073151236,2
Zero order,MWD,SOC,-0.11524408,0.025438657,*,0.11524408,2
Zero order,MWD,CN,-0.012039714,0.816002261,,0.012039714,2
Zero order,MWD,pH,0.04009171,0.438262632,,0.04009171,2
Zero order,MWD,biodiversity,-0.110709797,0.031857319,*,0.110709797,3
Zero order,MWD,MBC,0.040017875,0.439107212,,0.040017875,3
Zero order,MWD,FB,0.042347316,0.412912955,,0.042347316,3
