ID,study,layer2,SOC,rrSOC,varSOC,depth2,SOC2,pH4,pH3
1967,11,10-30,11.86426914,-0.02515856,0.000590794,12.5,moderate,acid,8.294
1968,11,0-10,11.4,0.158627068,0.000420335,2.5,moderate,acid,8.15
1969,11,0-10,11.4,0.130012813,0.000237089,2.5,moderate,acid,8.15
1970,11,10-30,11.86426914,0.078552765,0.000368576,12.5,moderate,acid,8.294
1971,11,10-30,11.86426914,0.050325084,0.000266172,12.5,moderate,acid,8.294
1972,11,0-10,11.4,0.170051464,0.000675761,2.5,moderate,acid,8.15
1973,11,0-10,11.4,0.15623909,0.000114458,2.5,moderate,acid,8.15
1974,11,10-30,11.86426914,0.058228505,0.000485877,12.5,moderate,acid,8.294
1975,11,10-30,11.86426914,0.037819633,0.00033096,12.5,moderate,acid,8.294
1976,187,0-10,31.74821346,,,2.5,high,neutral,6.6
1977,188,0-10,16.08,0.20329468,0.003273252,2.5,moderate,acid,5.45
1978,188,0-10,16.08,0.039665256,0.003273252,2.5,moderate,acid,5.45
1979,188,0-10,16.08,0.050715093,0.003273252,2.5,moderate,acid,5.45
1980,188,0-10,15.65605569,0.05092009,0.003273252,7.5,moderate,acid,5.528
1981,188,0-10,15.65605569,0.014815086,0.003273252,7.5,moderate,acid,5.528
1982,188,0-10,15.65605569,0.036634133,0.003273252,7.5,moderate,acid,5.528
1983,188,10-30,14.14023202,0.026433257,0.003273252,15,moderate,acid,5.74
1984,188,10-30,14.14023202,0.068992871,0.003273252,15,moderate,acid,5.74
1985,188,10-30,14.14023202,0.077291674,0.003273252,15,moderate,acid,5.74
1986,189,0-10,10.3964362,,,2.5,moderate,acid,6.88
1987,189,0-10,10.3964362,,,2.5,moderate,acid,6.88
1988,38,0-10,9.206431554,,,2.5,low,neutral,6.556
1989,38,0-10,9.206431554,,,2.5,low,acid,6.556
1990,190,0-10,18.76455684,,,2.5,high,neutral,7.15
1991,190,0-10,18.76455684,,,2.5,high,neutral,7.15
1992,191,0-10,11.83294664,0.077159081,0.004364336,2.5,moderate,acid,6.4
1993,191,0-10,11.83294664,0.134867398,0.004364336,2.5,moderate,acid,6.4
1994,191,0-10,11.83294664,0.062196208,0.004364336,2.5,moderate,acid,6.4
1995,191,0-10,11.83294664,-2.833213344,0.004364336,2.5,moderate,acid,6.4
1996,191,0-10,11.83294664,-0.005420067,0.004364336,2.5,moderate,acid,6.4
1997,191,0-10,10.78886311,0.005763705,0.004364336,7.5,moderate,acid,6.2
1998,191,0-10,10.78886311,0.011494379,0.004364336,7.5,moderate,acid,6.2
1999,191,0-10,10.78886311,0.045205437,0.004364336,7.5,moderate,acid,6.2
2000,191,0-10,10.78886311,0.098981834,0.004364336,7.5,moderate,acid,6.2
2001,191,0-10,10.78886311,0.066691374,0.004364336,7.5,moderate,acid,6.2
2002,191,10-30,9.51276102,-0.043083586,0.004364336,15,moderate,acid,6.2
2003,191,10-30,9.51276102,-0.024391453,0.004364336,15,moderate,acid,6.2
2004,191,10-30,9.51276102,-0.068562671,0.004364336,15,moderate,acid,6.2
2005,191,10-30,9.51276102,0.075398017,0.004364336,15,moderate,acid,6.2
2006,191,10-30,9.51276102,-0.057819571,0.004364336,15,moderate,acid,6.2
2007,38,0-10,8.2,,,10,low,neutral,6.566
2008,38,0-10,8.2,,,10,low,neutral,6.566
2009,38,0-10,8.2,,,10,low,neutral,6.566
2010,38,0-10,8.6,,,10,low,neutral,6.56
2011,38,0-10,8.6,,,10,low,alkaline,6.56
2012,38,0-10,8.6,,,10,low,alkaline,6.56
2013,38,0-10,9.7,,,10,moderate,acid,6.55
2014,38,0-10,9.7,,,10,moderate,acid,6.55
2015,38,0-10,9.7,,,10,moderate,acid,6.55
2016,38,0-10,6.5,,,10,low,alkaline,6.52
2017,38,0-10,6.5,,,10,low,alkaline,6.52
2018,38,0-10,6.5,,,10,low,acid,6.52
2019,38,0-10,5.8,,,10,low,neutral,6.616
2020,38,0-10,5.8,,,10,low,neutral,6.616
2021,38,0-10,5.8,,,10,low,neutral,6.616
2022,38,0-10,5.8,,,10,low,neutral,6.652
2023,38,0-10,5.8,,,10,low,acid,6.652
2024,38,0-10,5.8,,,10,low,acid,6.652
2025,38,0-10,6.9,,,10,low,acid,6.62
2026,38,0-10,6.9,,,10,low,acid,6.62
2027,38,0-10,6.9,,,10,low,acid,6.62
2028,38,0-10,7.1,,,10,low,acid,6.578
2029,38,0-10,7.1,,,10,low,acid,6.578
2030,38,0-10,7.1,,,10,low,acid,6.578
2031,38,0-10,6.8,,,10,low,acid,6.48
2032,38,0-10,6.8,,,10,low,acid,6.48
2033,38,0-10,6.8,,,10,low,acid,6.48
2034,72,0-10,3.6,0.167054085,0.004364336,2.5,low,acid,7.6
2035,72,0-10,3.6,0.0719735,0.004364336,2.5,low,acid,7.6
2036,72,0-10,3.6,0.15415068,0.004364336,7.5,low,acid,7.6
2037,72,0-10,3.6,0.082691716,0.004364336,7.5,low,acid,7.6
2038,72,10-30,3.6,0.050010421,0.004364336,12.5,low,acid,7.6
2039,72,10-30,3.6,0.088947486,0.004364336,12.5,low,acid,7.6
2040,192,0-10,16.52580046,,,5,moderate,acid,7.35
2041,192,0-10,16.52580046,,,5,moderate,acid,7.35
2042,192,0-10,16.52580046,,,5,moderate,acid,7.35
2043,192,0-10,16.52580046,,,5,moderate,acid,7.35
2044,192,0-10,16.52580046,-0.03373814,0.000743848,5,moderate,acid,7.35
2045,192,0-10,16.52580046,-0.045052664,0.003299783,5,moderate,acid,7.35
2046,192,0-10,16.52580046,-0.009523882,0.003284534,5,moderate,acid,7.35
2047,192,0-10,16.52580046,0.03509132,0.001572775,5,moderate,acid,7.35
2048,192,10-30,13.1912297,,,15,moderate,acid,7.522
2049,192,10-30,13.1912297,,,15,moderate,acid,7.522
2050,192,10-30,13.1912297,,,15,moderate,acid,7.522
2051,192,10-30,13.1912297,,,15,moderate,acid,7.522
2052,192,10-30,13.1912297,-0.019901154,0.000792295,15,moderate,neutral,7.522
2053,192,10-30,13.1912297,-0.041964199,0.002447839,15,moderate,neutral,7.522
2054,192,10-30,13.1912297,0,0.003940792,15,moderate,neutral,7.522
2055,192,10-30,13.1912297,-0.018519048,0.003575947,15,moderate,neutral,7.522
2056,192,10-30,13.72,,,25,moderate,neutral,7.458
2057,192,10-30,13.72,,,25,moderate,neutral,7.458
2058,192,10-30,13.72,,,25,moderate,neutral,7.458
2059,192,10-30,13.72,,,25,moderate,neutral,7.458
2060,192,10-30,13.72,-0.049029427,0.000770322,25,moderate,neutral,7.458
2061,192,10-30,13.72,0.009434032,0.006187777,25,moderate,alkaline,7.458
2062,192,10-30,13.72,0,0.0069161,25,moderate,alkaline,7.458
2063,192,10-30,13.72,-0.037563102,0.006016684,25,moderate,alkaline,7.458
2064,193,0-10,11.67317866,,,5,moderate,alkaline,5.9
2065,193,10-30,15.04554245,,,15,moderate,alkaline,6.852
2066,193,10-30,15.76210857,,,25,moderate,alkaline,6.566
2067,193,0-10,11.67317866,-0.029852963,0.006766025,5,moderate,alkaline,5.9
2068,193,10-30,15.04554245,-0.030536724,0.021261002,15,moderate,alkaline,6.852
2069,193,10-30,15.76210857,-0.040409538,0.026796078,25,moderate,alkaline,6.566
2070,43,0-10,23.08,0.230486286,0.002618601,2.5,high,neutral,6.1
2071,43,0-10,23.08,0.059905429,0.002618601,2.5,high,alkaline,6.1
2072,43,0-10,23.08,0.011352637,0.002618601,7.5,high,alkaline,6.1
2073,43,0-10,23.08,0.011660843,0.002618601,7.5,high,neutral,6.1
2074,43,10-30,23.08,0.043717934,0.002618601,15,high,neutral,6.1
2075,43,10-30,23.08,-0.024713657,0.002618601,15,high,neutral,6.1
2076,194,0-10,13.9600464,0.150480951,0.004364336,2.5,moderate,alkaline,8.3
2077,194,0-10,13.9600464,0.090514008,0.004364336,2.5,moderate,alkaline,8.3
2078,194,0-10,13.9600464,0.117783036,0.004364336,2.5,moderate,alkaline,8.3
2079,104,0-10,8.516148492,0.170957798,0.000367867,10,low,acid,8.08
2080,104,0-10,8.516148492,0.152016207,0.001544917,10,low,acid,8.08
2081,195,0-10,17.3,0.018729523,0.004364336,10,moderate,alkaline,8.7
2082,144,0-10,13.1,0.386075586,0.004364336,7.5,moderate,alkaline,8.7
2083,196,0-10,10.84055685,0.281167392,0.005212915,2.5,moderate,alkaline,6.06
2084,196,0-10,11.69483372,0.278902385,0.005294546,10,moderate,alkaline,6.06
2085,197,0-10,19,0.11868597,0.004364336,2.5,high,neutral,4.7
2086,197,0-10,19,0.024097552,0.004364336,2.5,high,alkaline,4.7
2087,197,0-10,19,0.035932009,0.004364336,2.5,high,alkaline,4.7
2088,197,0-10,19,0.221516212,0.004364336,2.5,high,neutral,4.7
2089,197,0-10,19,0.051496526,0.004364336,2.5,high,neutral,4.7
2090,197,0-10,19,0.178965849,0.004364336,2.5,high,neutral,4.7
2091,197,0-10,19,-0.028027312,0.004364336,2.5,high,neutral,4.7
2092,197,0-10,19,-0.064873586,0.004364336,2.5,high,alkaline,4.7
2093,197,0-10,19,0.075004914,0.004364336,2.5,high,alkaline,4.7
2094,197,0-10,19,-0.16340611,0.004364336,2.5,high,neutral,4.7
2095,197,0-10,19,0.130879575,0.004364336,7.5,high,neutral,4.7
2096,197,0-10,19,0.012631747,0.004364336,7.5,high,neutral,4.7
2097,197,0-10,19,0.020965128,0.004364336,7.5,high,neutral,4.7
2098,197,0-10,19,0.188657375,0.004364336,7.5,high,alkaline,4.7
2099,197,0-10,19,0.08524428,0.004364336,7.5,high,alkaline,4.7
2100,197,0-10,19,0.09531018,0.004364336,7.5,high,neutral,4.7
2101,197,0-10,19,0.046883586,0.004364336,7.5,high,neutral,4.7
2102,197,0-10,19,0.141499562,0.004364336,7.5,high,alkaline,4.7
2103,197,0-10,19,0.172271221,0.004364336,7.5,high,alkaline,4.7
2104,197,0-10,19,0.091667189,0.004364336,7.5,high,neutral,4.7
2105,197,10-30,19,0.148096171,0.004364336,15,high,neutral,4.7
2106,197,10-30,19,0.059242834,0.004364336,15,high,neutral,4.7
2107,197,10-30,19,0.085445206,0.004364336,15,high,neutral,4.7
2108,197,10-30,19,0.059242834,0.004364336,15,high,alkaline,4.7
2109,197,10-30,19,0.148096171,0.004364336,15,high,alkaline,4.7
2110,197,10-30,19,0.074107972,0.004364336,15,high,neutral,4.7
2111,197,10-30,19,0.162518929,0.004364336,15,high,neutral,4.7
2112,197,10-30,19,0.154796883,0.004364336,15,high,neutral,4.7
2113,197,10-30,19,0.192824279,0.004364336,15,high,neutral,4.7
2114,197,10-30,19,0.139171566,0.004364336,15,high,neutral,4.7
2115,198,0-10,16.56055684,0.086328084,0.001173262,2.5,moderate,alkaline,7.128
2116,198,10-30,19.58654292,0.090971778,0.004572186,15,high,neutral,7.06
2117,198,30-60,18.73266821,-0.319770387,0.042721442,37.5,high,neutral,7.06
2118,198,0-10,20.80114978,,,10,high,neutral,7.012
2119,198,0-10,20.80114978,,,10,high,neutral,7.012
2120,198,0-10,20.80114978,,,10,high,neutral,7.012
2121,198,0-10,20.80114978,,,10,high,neutral,7.012
2122,198,0-10,20.80114978,,,10,high,neutral,7.012
2123,199,0-10,17.95752204,0.003518034,0.003273252,2.5,high,neutral,5.168
2124,199,0-10,17.95752204,0.035486199,0.003273252,2.5,high,neutral,5.168
2125,199,0-10,17.95752204,0.0179492,0.003273252,2.5,high,acid,5.168
2126,199,0-10,17.95752204,0.101991328,0.003273252,2.5,high,acid,5.168
2127,199,10-30,19.26552204,-0.015094626,0.003273252,12.5,high,acid,5.208
2128,199,10-30,19.26552204,-0.031311995,0.003273252,12.5,high,acid,5.208
2129,199,10-30,19.26552204,0.004150614,0.003273252,12.5,high,acid,5.208
2130,199,10-30,19.26552204,-0.002081785,0.003273252,12.5,high,acid,5.208
2131,200,0-10,10.98032483,-0.00486619,0.002011313,10,moderate,alkaline,7.736
2132,200,0-10,10.98032483,-0.00486619,0.002011313,10,moderate,alkaline,7.736
2133,200,0-10,10.98032483,0.033415997,0.001948173,10,moderate,alkaline,7.736
2134,200,0-10,10.98032483,-0.024571261,0.002045747,10,moderate,alkaline,7.736
2135,200,0-10,10.98032483,0.053281366,0.002013838,10,moderate,alkaline,7.736
2136,200,0-10,10.98032483,0.062671107,0.001998936,10,moderate,alkaline,7.736
2137,200,0-10,10.98032483,0.081190155,0.001970353,10,moderate,alkaline,7.736
2138,200,0-10,10.98032483,0.043802622,0.002029168,10,moderate,alkaline,7.736
2139,201,0-10,10.17489559,0.026466573,0.001401532,10,moderate,alkaline,7.778
2140,201,0-10,10.17489559,0.030190972,0.001396469,10,moderate,alkaline,7.778
2141,201,0-10,10.17489559,0.033901552,0.001391462,10,moderate,acid,7.778
2142,201,0-10,10.17489559,0.063100706,0.001353333,10,moderate,acid,7.778
2143,201,0-10,10.17489559,0.043744549,0.001551577,10,moderate,acid,7.778
2144,201,0-10,10.17489559,0.059188872,0.001529012,10,moderate,acid,7.778
2145,201,0-10,10.17489559,0.085655445,0.001491926,10,moderate,acid,7.778
2146,201,0-10,10.17489559,0.093090423,0.001481857,10,moderate,acid,7.778
2147,202,0-10,11.80816705,,,2.5,moderate,acid,7.524
2148,203,0-10,15.8950348,,,2.5,moderate,acid,7.378
2149,203,0-10,11.37181439,,,2.5,moderate,acid,7.322
2150,204,0-10,11.37181439,,,2.5,moderate,acid,7.322
2151,205,0-10,17.732,-0.17979311,0.004364336,7.5,high,acid,7.07
2152,205,0-10,17.732,0.050010421,0.004364336,7.5,high,acid,7.07
2153,205,10-30,15.74609929,-0.043017385,0.004364336,22.5,moderate,acid,7.08
2154,205,10-30,15.74609929,0.034685558,0.004364336,22.5,moderate,acid,7.08
2155,206,0-10,12.99522042,0.106160196,0.004364336,3.75,moderate,acid,7.394
2156,206,0-10,12.99522042,0,0.004364336,3.75,moderate,acid,7.394
2157,206,10-30,12.74974478,-0.039413968,0.004364336,11.25,moderate,acid,7.238
2158,206,10-30,12.74974478,-0.085694721,0.004364336,11.25,moderate,acid,7.238
2159,207,0-10,8.591470998,0.081917122,0.053348425,2.5,low,acid,6.938
2160,207,0-10,8.591470998,-0.045809536,0.023644603,2.5,low,acid,6.938
2161,207,0-10,7.632,-0.176279242,0.150607912,10,low,acid,6.83
2162,207,0-10,7.632,0.049761509,0.034542783,10,low,acid,6.83
2163,72,0-10,3.51,,,7.5,low,acid,7.81
2164,72,0-10,3.51,,,7.5,low,acid,7.81
2165,23,0-10,17.86223202,,,5,high,acid,5.1
2166,23,0-10,17.86223202,,,5,high,acid,5.1
2167,23,0-10,17.86223202,,,5,high,acid,5.1
2168,23,0-10,17.86223202,,,5,high,acid,5.1
2169,23,0-10,17.86223202,,,5,high,acid,5.1
2170,23,0-10,17.86223202,,,5,high,acid,5.1
2171,23,10-30,17.3962877,,,15,moderate,acid,4.5
2172,23,10-30,17.3962877,,,15,moderate,acid,4.5
2173,23,10-30,17.3962877,,,15,moderate,acid,4.5
2174,23,10-30,17.3962877,,,15,moderate,acid,4.5
2175,23,10-30,17.3962877,,,15,moderate,acid,4.5
2176,23,10-30,17.3962877,,,15,moderate,acid,4.5
2177,23,0-10,17.86223202,0.102779869,0.003273252,5,high,acid,5.1
2178,23,0-10,17.86223202,0.116636903,0.003273252,5,high,acid,5.1
2179,23,0-10,17.86223202,0.107420248,0.003273252,5,high,acid,5.1
2180,23,0-10,17.86223202,0.102779869,0.003273252,5,high,acid,5.1
2181,23,0-10,17.86223202,0.116636904,0.003273252,5,high,acid,5.1
2182,23,0-10,17.86223202,0.107420249,0.003273252,5,high,acid,5.1
2183,23,10-30,17.3962877,0.011363759,0.003273252,15,moderate,acid,4.5
2184,23,10-30,17.3962877,-0.071035773,0.003273252,15,moderate,acid,4.5
2185,23,10-30,17.3962877,-0.0588405,0.003273252,15,moderate,acid,4.5
2186,23,10-30,17.3962877,0.011363759,0.003273252,15,moderate,acid,4.5
2187,23,10-30,17.3962877,-0.071035773,0.003273252,15,moderate,acid,4.5
2188,23,10-30,17.3962877,-0.0588405,0.003273252,15,moderate,acid,4.5
2189,208,0-10,2.5638051,-0.31481074,0.003603505,5,low,acid,8.55
2190,208,0-10,2.5638051,0.042863705,0.00136805,5,low,acid,8.55
2191,208,10-30,2.5638051,-0.505749471,0.004149122,15,low,acid,8.55
2192,208,10-30,2.5638051,-0.130265195,0.000686865,15,low,acid,8.55
2193,208,10-30,5.493039442,-0.376477571,0.004078541,30,low,acid,8.048
2194,208,10-30,5.493039442,-0.673729095,0.003501864,30,low,acid,8.048
2195,208,30-60,5.020143852,-0.269663567,0.003412223,60,low,acid,7.99
2196,208,30-60,5.020143852,-0.318453732,0.005566116,60,low,acid,7.99
2197,208,0-10,6.58,,,10,low,acid,7.85
2198,208,0-10,6.58,,,10,low,acid,7.85
2199,208,0-10,6.58,,,10,low,acid,7.85
2200,208,0-10,6.58,,,10,low,acid,7.85
2201,208,0-10,6.58,,,10,low,acid,7.85
2202,208,0-10,6.58,,,10,low,acid,7.85
2203,208,0-10,6.58,,,10,low,acid,7.85
2204,208,0-10,6.58,,,10,low,neutral,7.85
2205,209,0-10,6.321349272,-0.055373049,0.004364336,2.5,low,neutral,7.462
2206,209,0-10,6.321349272,-0.013267799,0.004364336,2.5,low,neutral,7.462
2207,209,0-10,6.321349272,0.055721819,0.004364336,2.5,low,neutral,7.462
2208,209,0-10,7.34812065,-0.03501684,0.004364336,10,low,neutral,7.386
2209,209,0-10,7.34812065,-0.014834886,0.004364336,10,low,neutral,7.386
2210,209,0-10,7.34812065,0.01166842,0.004364336,10,low,neutral,7.386
2211,210,0-10,7.596148492,0.022989518,0.003273252,2.5,low,neutral,7.338
2212,210,0-10,7.596148492,-0.00332779,0.003273252,2.5,low,neutral,7.338
2213,210,0-10,7.272,,,7.5,low,neutral,7.418
2214,210,0-10,7.272,,,7.5,low,neutral,7.418
2215,210,10-30,6.100185616,,,15,low,neutral,7.642
2216,210,10-30,6.100185616,,,15,low,neutral,7.642
2217,210,0-10,7.596148492,0.003395589,0.003273252,2.5,low,neutral,7.338
2218,210,0-10,7.596148492,0.016863806,0.003273252,2.5,low,neutral,7.338
2219,210,0-10,7.272,,,7.5,low,neutral,7.418
2220,210,0-10,7.272,,,7.5,low,neutral,7.418
2221,210,10-30,6.100185616,,,15,low,neutral,7.642
2222,210,10-30,6.100185616,,,15,low,alkaline,7.642
2223,211,0-10,7.086519206,-0.015113638,0.004364336,2.5,low,alkaline,7.4
2224,211,0-10,7.086519206,-0.010050336,0.004364336,2.5,low,alkaline,7.4
2225,211,0-10,6.9762413,,,7.5,low,alkaline,7.378
2226,211,0-10,6.9762413,,,7.5,low,alkaline,7.378
2227,211,10-30,6.3435302,,,15,low,alkaline,7.52
2228,211,10-30,6.3435302,,,15,low,alkaline,7.52
2229,211,0-10,7.086519206,0.02803922,0.004364336,2.5,low,alkaline,7.4
2230,211,0-10,7.086519206,0.055313638,0.004364336,2.5,low,acid,7.4
2231,211,0-10,6.9762413,,,7.5,low,acid,7.378
2232,211,0-10,6.9762413,,,7.5,low,acid,7.378
2233,211,10-30,6.3435302,,,15,low,acid,7.52
2234,211,10-30,6.3435302,,,15,low,acid,7.52
2235,212,0-10,6.428185616,-0.045746022,0.003273252,2.5,low,acid,7.436
2236,212,0-10,6.428185616,-0.058594164,0.003273252,2.5,low,acid,7.436
2237,212,0-10,7.28,,,7.5,low,acid,7.576
2238,212,0-10,7.28,,,7.5,low,acid,7.576
2239,212,10-30,6.092064966,,,15,low,acid,7.476
2240,212,10-30,6.092064966,,,15,low,acid,7.476
2241,212,0-10,6.428185616,0.060064241,0.003273252,2.5,low,acid,7.436
2242,212,0-10,6.428185616,-0.084417342,0.003273252,2.5,low,alkaline,7.436
2243,212,0-10,7.28,,,7.5,low,alkaline,7.576
2244,212,0-10,7.28,,,7.5,low,alkaline,7.576
2245,212,10-30,6.092064966,,,15,low,alkaline,7.476
2246,212,10-30,6.092064966,,,15,low,alkaline,7.476
2247,213,0-10,11.97858933,,,10,moderate,acid,7.1
2248,213,0-10,11.97858933,,,10,moderate,acid,7.1
2249,213,0-10,11.97858933,,,10,moderate,neutral,7.1
2250,213,0-10,11.97858933,,,10,moderate,neutral,7.1
2251,213,0-10,11.97858933,,,10,moderate,alkaline,7.1
2252,213,0-10,11.97858933,,,10,moderate,alkaline,7.1
2253,213,0-10,11.97858933,,,10,moderate,alkaline,7.1
2254,213,0-10,11.97858933,,,10,moderate,alkaline,7.1
2255,213,0-10,11.97858933,,,10,moderate,alkaline,7.1
2256,213,0-10,11.97858933,,,10,moderate,alkaline,7.1
2257,213,0-10,11.97858933,,,10,moderate,alkaline,7.1
2258,213,0-10,11.97858933,,,10,moderate,alkaline,7.1
2259,216,0-10,8.994,,,10,low,alkaline,5.6
2260,216,0-10,8.994,,,10,low,acid,5.6
2261,216,0-10,8.994,,,10,low,acid,5.6
2262,217,0-10,19.4,,,10,high,acid,5.53
2263,217,0-10,19.4,,,10,high,acid,5.53
2264,217,0-10,19.4,,,10,high,acid,5.53
2265,217,0-10,19.4,,,10,high,acid,5.53
2266,217,0-10,19.4,,,10,high,acid,5.53
2267,217,0-10,19.4,,,10,high,acid,5.53
2268,217,0-10,19.4,,,10,high,acid,5.53
2269,217,0-10,19.4,,,10,high,acid,5.53
2270,217,0-10,19.4,,,10,high,acid,5.53
2271,217,0-10,19.4,,,10,high,acid,5.53
2272,217,0-10,19.4,,,10,high,acid,5.53
2273,217,0-10,19.4,,,10,high,acid,5.53
2274,218,0-10,9.34,-0.09237332,0.004364336,7.5,moderate,alkaline,6.1
2275,218,0-10,9.34,0.405465108,0.004364336,7.5,moderate,alkaline,6.1
2276,218,0-10,9.34,0.162518929,0.004364336,7.5,moderate,alkaline,6.1
2277,218,0-10,9.34,-0.159064695,0.004364336,7.5,moderate,alkaline,6.1
2278,217,0-10,20.9,,,10,high,acid,5.75
2279,217,0-10,20.9,,,10,high,acid,5.75
2280,217,0-10,20.9,,,10,high,acid,5.75
2281,217,0-10,20.9,,,10,high,acid,5.75
2282,217,0-10,20.9,,,10,high,neutral,5.75
2283,217,0-10,20.9,,,10,high,neutral,5.75
2284,217,0-10,20.9,,,10,high,acid,5.75
2285,217,0-10,20.9,,,10,high,acid,5.75
2286,217,0-10,20.9,,,10,high,acid,5.75
2287,217,0-10,20.9,,,10,high,acid,5.75
2288,219,0-10,8.4,0.030771659,0.004364336,10,low,acid,6.2
2289,219,0-10,8.4,0.089612159,0.004364336,10,low,acid,6.2
2290,219,0-10,8.4,0.136132174,0.004364336,10,low,acid,6.2
2291,219,0-10,8.4,0.126999691,0.004364336,10,low,acid,6.2
2292,219,0-10,8.4,0.171850257,0.004364336,10,low,alkaline,6.2
2293,220,0-10,26.12,,,10,high,acid,5.392
2294,221,0-10,25.40366589,,,10,high,acid,5.666
2295,72,0-10,4.169805102,,,10,low,alkaline,7.2
2296,72,0-10,4.169805102,,,10,low,alkaline,7.2
2297,222,0-10,10,,,5,moderate,alkaline,5.9
2298,222,0-10,10,,,5,moderate,alkaline,5.9
2299,222,0-10,10,,,5,moderate,neutral,5.9
2300,222,0-10,10,,,5,moderate,neutral,5.9
2301,222,0-10,10,,,5,moderate,neutral,5.9
2302,222,0-10,10,,,5,moderate,neutral,5.9
