,conf.low,conf.high,mean
1,16.66040266,46.02023076,30.51735102
2,14.91582083,36.80389856,25.38314199
3,15.52292227,32.10417278,23.53566321
4,-3.513558677,18.5116287,6.93346206
5,11.21556799,51.33983818,29.73567768
6,41.13605582,77.51901099,58.28560593
7,-16.4331621,15.33706,-1.824882
8,3.6483741,13.44304,8.435174
9,0.8667207,10.87782,5.753874
10,-14.02082154,34.63611429,7.591368134
11,-8.169830254,41.80682989,14.11461458
12,16.86733585,66.16946192,39.35487905
