ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,POC.ck (g/kg),POC.csd,POC.cn,POC.t,POC.tsd,POC.tn,rrPOC,varPOC,MAOC.ck (g/kg),MAOC.csd,MAOC.cn,MAOC.t,MAOC.tsd,MAOC.tn,rrMAOC,varMAOC
22,4,Crespo,2021,Catena,5,-62.10388889,-31.27972222,temperate,loam,0-10,11,upland,80,no,no-tillage,rainfed,non-legume,1,surface,2.72,0.415692194,3,4.944,2.383301911,3,0.59754284,0.085245904,,,,,,,,
23,4,Crespo,2021,Catena,5,-62.10388889,-31.27972222,temperate,loam,10-30,11,upland,80,no,no-tillage,rainfed,non-legume,1,surface,0.634666667,0.304840942,3,0.656,0.19398969,3,0.033060862,0.106050664,,,,,,,,
24,4,Crespo,2021,Catena,6,-60.53944444,-30.15027778,temperate,clay loam,0-10,11,upland,46,no,no-tillage,rainfed,non-legume,1,surface,3.6,2.632717228,3,3.04,2.189312221,3,-0.16907633,0.351152491,,,,,,,,
25,4,Crespo,2021,Catena,6,-60.53944444,-30.15027778,temperate,clay loam,10-30,11,upland,46,no,no-tillage,rainfed,non-legume,1,surface,1.376,1.718194401,3,2.736,1.829045653,3,0.68731626,0.668709314,,,,,,,,
26,4,Crespo,2021,Catena,7,-62.75888889,-33.12583333,temperate,loam,0-10,11,upland,46,no,no-tillage,rainfed,non-legume,1,surface,0.416,0.138564065,3,1.872,2.327876285,3,1.504077397,0.55243261,,,,,,,,
27,4,Crespo,2021,Catena,7,-62.75888889,-33.12583333,temperate,loam,10-30,11,upland,46,no,no-tillage,rainfed,non-legume,1,surface,3.888,0.563493863,3,4.602666667,2.992983795,3,0.168740959,0.147952805,,,,,,,,
28,5,Zhang,2022,Journal of Integrative Agriculture,8,113.35,28.46666667,temperate,loam,0-10,5,paddy,150,no,conventional,continous,legume,1,incorporated,,,,,,,,,3.19E+00,7.00E-02,3,4.72E+00,1.30E-01,3,0.391787883,0.000413368
29,5,Zhang,2022,Journal of Integrative Agriculture,8,113.35,28.46666667,temperate,loam,0-10,5,paddy,150,yes,conventional,continous,legume,1,incorporated,,,,,,,,,4.13E+00,1.10E-01,3,4.10E+00,1.00E-02,3,-0.007290433,0.000238446
30,5,Zhang,2022,Journal of Integrative Agriculture,8,113.35,28.46666667,temperate,loam,0-10,5,paddy,150,yes,conventional,continous,legume,1,incorporated,,,,,,,,,4.60E+00,1.50E-01,3,3.57E+00,1.30E-01,3,-0.253490708,0.000796449
31,6,Amadori,2022,SOIL AND PLANT NUTRITION ,9,-52.68333333,-26.11666667,temperate,clay,0-10,26,upland,22.03,no,conventional,rainfed,non-legume,1,incorporated,4.8,9.98E-01,3,4.48,1.12E+00,3,-0.068992871,0.035243113,3.54E+01,2.16534032,3,34.72,1.96171472,3,-0.01939593,0.002311288
