"","x","y","Total_Cu","Total_Fe","Total_Mn","Total_Zn","Total_Co","Total_Ni","Micronutrient","AMS_upland.micronutrient","AMS_upland.micronutrient_126","AMS_upland.micronutrient_370","AMS_paddy.micronutrient","AMS_paddy.micronutrient_126","AMS_paddy.micronutrient_370"
"1",126.044722,41.735278,12.726311,29370.570845,739.473073,127.594002,10.413085,22.98149,30283.758806,-0.922680377960205,4.21206378936768,2.46882557868958,-2.79361534118652,0.29195961356163,-0.807454466819763
"2",126.044722,41.735278,13.231544,28524.15464,599.565495,112.970641,11.14296,20.94268,29282.00796,-0.922680377960205,4.21206378936768,2.46882557868958,-2.79361534118652,0.29195961356163,-0.807454466819763
"3",126.044722,41.735278,16.673562,35564.871131,659.098806,144.400103,11.465667,23.893625,36420.402896,-0.922680377960205,4.21206378936768,2.46882557868958,-2.79361534118652,0.29195961356163,-0.807454466819763
"4",127.4425,42.275278,12.908014,29472.276312,1037.354459,76.057418,14.418176,24.397646,30637.412026,5.0353741645813,11.7951889038086,9.0823917388916,0.592100977897644,4.79692411422729,3.07188940048218
"5",127.4425,42.275278,12.629252,36692.260418,932.563493,86.449462,17.976899,25.637739,37767.517263,5.0353741645813,11.7951889038086,9.0823917388916,0.592100977897644,4.79692411422729,3.07188940048218
"6",127.4425,42.275278,15.519685,26388.770212,659.423657,78.821638,13.610877,24.341412,27180.487481,5.0353741645813,11.7951889038086,9.0823917388916,0.592100977897644,4.79692411422729,3.07188940048218
"7",129.463611,42.840556,8.893608,17938.295443,806.28718,50.657137,8.865279,19.15141,18832.150057,-2.7862753868103,1.22259223461151,2.83185315132141,-5.46933746337891,-3.03196358680725,-1.94889688491821
"8",129.463611,42.840556,4.189752,13849.022732,304.13541,38.145774,7.911587,17.007595,14220.412851,-2.7862753868103,1.22259223461151,2.83185315132141,-5.46933746337891,-3.03196358680725,-1.94889688491821
"9",129.463611,42.840556,7.716729,17925.446522,746.114671,46.648732,8.895315,18.288575,18753.110544,-2.7862753868103,1.22259223461151,2.83185315132141,-5.46933746337891,-3.03196358680725,-1.94889688491821
"10",128.2375,43.338889,11.944163,27807.142491,1287.312674,78.789914,12.056152,22.638611,29219.884005,-2.04140257835388,2.15943813323975,3.47916340827942,-4.47294664382935,-1.81235611438751,-0.667373776435852
"11",128.2375,43.338889,11.024828,29930.155544,1775.234114,72.719421,12.136544,24.731768,31826.002219,-2.04140257835388,2.15943813323975,3.47916340827942,-4.47294664382935,-1.81235611438751,-0.667373776435852
"12",128.2375,43.338889,7.531392,20252.210354,687.706952,63.601553,9.393688,15.43911,21035.88305,-2.04140257835388,2.15943813323975,3.47916340827942,-4.47294664382935,-1.81235611438751,-0.667373776435852
"13",126.606667,43.877778,14.507911,22885.450145,709.846483,97.828591,10.094142,21.445067,23739.172339,0.293392360210419,4.07811784744263,3.37655973434448,-2.54342555999756,0.092083528637886,-0.242881998419762
"14",126.606667,43.877778,13.133164,21507.963027,624.993181,79.914723,8.648838,19.855982,22254.508915,0.293392360210419,4.07811784744263,3.37655973434448,-2.54342555999756,0.092083528637886,-0.242881998419762
"15",126.606667,43.877778,18.730545,22895.059251,798.368849,132.308063,9.759077,23.99347,23878.219255,0.293392360210419,4.07811784744263,3.37655973434448,-2.54342555999756,0.092083528637886,-0.242881998419762
"16",-60.3822,-62.6616,15.304923,16746.202073,209.282596,40.002617,9.148541,8.882355,17028.823104,NA,NA,NA,NA,NA,NA
"17",-60.3822,-62.6616,28.944479,23725.945122,310.047471,58.579389,12.354124,10.646502,24146.517086,NA,NA,NA,NA,NA,NA
"18",-58.469622,-62.165142,72.340426,37413.27157,372.156304,65.687025,9.194917,6.181866,37938.832108,NA,NA,NA,NA,NA,NA
"19",-58.469622,-62.165142,94.085957,48270.517451,415.093702,76.606182,11.77501,7.978562,48876.056865,NA,NA,NA,NA,NA,NA
"20",-61.102333,-62.668507,8.839011,51914.590356,555.297208,88.519489,13.392486,11.440229,52592.07878,NA,NA,NA,NA,NA,NA
"21",-61.102333,-62.668507,7.431138,46397.061734,470.012354,65.425564,11.188961,6.547878,46957.667629,NA,NA,NA,NA,NA,NA
"22",-73.054306,-51.016806,29.729759,39975.394729,346.116352,87.035401,12.709748,28.78477,40479.770757,-3.82566976547241,0.353004723787308,2.18581175804138,NA,NA,NA
"23",-73.054306,-51.016806,24.978312,47079.274065,392.778866,102.58655,15.181998,31.251849,47646.051641,-3.82566976547241,0.353004723787308,2.18581175804138,NA,NA,NA
"24",-69.796706,-18.4578,25.000573,20326.676718,301.097893,88.466096,8.414028,9.557245,20759.212552,-1.88909566402435,1.87008774280548,1.85895490646362,NA,NA,NA
