rr,var,min,max,sort
-3.688879454,0.122897495,-4.375991538,-3.001767371,1
-3.135494216,2603.31569,-103.1399819,96.86899346,2
-3.091042453,0.122897495,-3.778154537,-2.40393037,3
-1.845826706,0.092173127,-2.440883246,-1.250770167,4
-1.791759472,0.564814815,-3.264781058,-0.318737886,5
-1.277842653,0.092173122,-1.872899176,-0.68278613,6
-1.252762967,0.394557823,-2.48391419,-0.021611744,7
-1.16315081,0.122897496,-1.850262897,-0.476038723,8
-1.098612289,0.122897496,-1.785724375,-0.411500202,9
-0.693147181,0.122897496,-1.380259267,-0.006035094,10
-0.640378425,0.053302452,-1.09288997,-0.187866879,11
-0.575364145,2.503616899,-3.676637218,2.525908929,12
-0.553340439,0.122897496,-1.240452527,0.133771648,13
-0.482851772,0.991848287,-2.434846746,1.469143202,14
-0.48150941,0.0536251,-0.93538845,-0.027630369,15
-0.478505275,0.122897496,-1.165617362,0.208606813,16
-0.332638365,0.13925896,-1.064059736,0.398783006,17
-0.301606161,0.122897496,-0.988718248,0.385505927,18
-0.267457201,0.030287118,-0.608559812,0.073645409,19
-0.243622081,0.122897496,-0.930734168,0.443490006,20
-0.199587922,0.00530096,-0.342290993,-0.056884851,21
-0.196922565,0.192843067,-1.057635018,0.663789887,22
-0.189242001,0.122897496,-0.876354087,0.497870086,23
-0.182321557,0.325445816,-1.300459584,0.935816471,24
-0.16907633,5.7521251,-4.869859646,4.531706986,25
-0.16034265,0.122897496,-0.847454737,0.526769437,26
-0.13132632,0.122897496,-0.818438407,0.555785767,27
-0.122698874,0.122897496,-0.809810961,0.564413214,28
-0.117783036,0.001127186,-0.18358728,-0.051978791,29
-0.109199292,0.122897496,-0.796311378,0.577912794,30
-0.109199292,0.122897496,-0.796311378,0.577912794,31
-0.084796536,0.092173122,-0.679853059,0.510259986,32
-0.076961042,0.122897496,-0.764073128,0.610151044,33
-0.076165847,0.004215134,-0.203417005,0.05108531,34
-0.062520358,0.122897496,-0.749632445,0.62459173,35
-0.051293297,0.456881346,-1.37611607,1.273529476,36
-0.048790163,0.157739984,-0.827233432,0.729653107,37
-0.048531961,0.122897496,-0.735644048,0.638580127,38
-0.04307298,0.122897496,-0.730185068,0.644039107,39
-0.03880349,0.122897496,-0.725915577,0.648308598,40
-0.007272759,0.092173122,-0.602329282,0.587783764,41
0,1,-1.96,1.96,42
0,0.122897495,-0.687112086,0.687112086,43
0.00809721,0.092173122,-0.586959313,0.603153733,44
0.021506205,0.092173122,-0.573550318,0.616562728,45
0.023087245,0.122897496,-0.664024843,0.710199332,46
0.03446798,0.122897496,-0.652644107,0.721580068,47
0.034912637,0.122897496,-0.652199451,0.722024724,48
0.039220715,0.122897496,-0.647891372,0.726332802,49
0.055350095,0.092173122,-0.539706428,0.650406618,50
0.069983293,0.088241223,-0.512243021,0.652209607,51
0.08786417,0.504656461,-1.30450369,1.48023203,52
0.106791974,0.122897496,-0.580320113,0.793904062,53
0.122602322,0.092173122,-0.472454201,0.717658845,54
0.133531393,0.005518534,-0.012070805,0.27913359,55
0.136132174,0.092173122,-0.458924349,0.731188697,56
0.136289176,0.122897496,-0.550822911,0.823401264,57
0.148180513,0.092173122,-0.44687601,0.743237036,58
0.148913181,0.122897496,-0.538198906,0.836025268,59
0.15318528,0.122897496,-0.533926808,0.840297367,60
0.160078537,0.005548798,0.014077642,0.306079431,61
0.174978139,0.002668112,0.073736758,0.27621952,62
0.189242,0.092173122,-0.405814523,0.784298522,63
0.197733633,0.002825246,0.093553677,0.301913588,64
0.219859476,0.092173122,-0.375197046,0.814915999,65
0.220777704,0.122897496,-0.466334383,0.907889792,66
0.23365671,0.122897496,-0.453455378,0.920768797,67
0.238964127,0.004181427,0.112222779,0.365705474,68
0.253195896,0.092173122,-0.341860627,0.848252418,69
0.261013826,0.015675723,0.01561648,0.506411171,70
0.316706192,0.00362905,0.198632666,0.434779717,71
0.322083499,0.053403991,-0.130858849,0.775025847,72
0.329479201,0.092173122,-0.265577322,0.924535724,73
0.335310121,0.092173122,-0.259746401,0.930366644,74
0.342859942,0.122897496,-0.344252146,1.029972029,75
0.359006853,0.092173122,-0.23604967,0.954063376,76
0.435318071,0.122897496,-0.251794016,1.122430159,77
0.45512402,0.061448748,-0.030737595,0.940985636,78
0.457833093,0.092173122,-0.13722343,1.052889616,79
0.457972547,0.122897496,-0.22913954,1.145084635,80
0.459532328,0.489381348,-0.911601285,1.830665942,81
0.459532329,5.33635349,-4.068175211,4.987239869,82
0.477776182,0.063530009,-0.016244954,0.971797319,83
0.477855604,0.002799038,0.374159968,0.581551241,84
0.479136113,0.00231558,0.384819983,0.573452243,85
0.479364315,0.122897496,-0.207747772,1.166476402,86
0.495616205,0.000440051,0.454500522,0.536731888,87
0.504556011,0.122897496,-0.182556077,1.191668098,88
0.510825624,1.89437586,-2.186846392,3.208497639,89
0.514898949,0.001011377,0.452566723,0.577231175,90
0.517943092,0.122897496,-0.169168996,1.205055179,91
0.522852025,0.067653756,0.013049448,1.032654603,92
0.527354926,0.09086044,-0.063449159,1.118159011,93
0.532305286,0.002994643,0.42504755,0.639563022,94
0.535518236,0.122897496,-0.151593851,1.222630324,95
0.537906582,0.003008447,0.430401931,0.645411234,96
0.554708016,0.079157961,0.003261535,1.106154496,97
0.563399487,0.122897496,-0.1237126,1.250511574,98
0.571521661,0.096419143,-0.037086406,1.180129729,99
0.579818496,0.122897496,-0.107293592,1.266930583,100
0.582351869,0.122897496,-0.104760218,1.269463956,101
0.584833107,0.001668772,0.504765921,0.664900294,102
0.585671801,0.001663472,0.505731867,0.665611734,103
0.587786665,0.122897496,-0.099325421,1.274898751,104
0.610909083,2.288513766,-2.354146479,3.575964644,105
0.614366303,0.122897496,-0.072745785,1.30147839,106
0.624017986,0.001668649,0.543953744,0.704082228,107
0.629777567,0.008426708,0.449855248,0.809699885,108
0.669430654,0.122897496,-0.017681434,1.356542741,109
0.673878762,0.001642934,0.594433836,0.753323687,110
0.679783952,0.122897496,-0.007328135,1.36689604,111
0.683077568,0.001655561,0.603327945,0.762827191,112
0.685887621,0.122897496,-0.001224467,1.372999708,113
0.693147181,0.25,-0.286852819,1.673147181,114
0.704654787,0.019481845,0.431083125,0.978226449,115
0.727843582,0.001662317,0.647931392,0.807755771,116
0.747137564,0.001669769,0.667046463,0.827228666,117
0.748831444,0.001664074,0.66887703,0.828785859,118
0.797589844,0.008100917,0.621179855,0.973999834,119
0.803898545,0.008255183,0.625816795,0.981980295,120
0.875468737,0.122897496,0.188356651,1.562580824,121
0.875468737,0.122897496,0.188356651,1.562580824,122
0.890758739,0.122897496,0.203646652,1.577870826,123
0.966988346,0.023380373,0.667291762,1.266684931,124
0.97112321,0.122897496,0.284011123,1.658235298,125
1.008543822,0.001157835,0.941850951,1.075236692,126
1.017363996,0.001150291,0.950888763,1.083839228,127
1.019831411,0.122897496,0.332719324,1.706943498,128
1.029619417,0.122897496,0.34250733,1.716731504,129
1.102467981,0.122897496,0.415355893,1.789580068,130
1.106517468,0.014030059,0.874358313,1.338676623,131
1.200058905,0.122897496,0.512946818,1.887170992,132
1.223775432,0.122897496,0.536663345,1.910887518,133
1.355203774,0.005845856,1.205345706,1.505061842,134
1.3929096,0.122897496,0.705797513,2.080021687,135
1.413201814,0.122897496,0.726089727,2.100313901,136
1.422103814,0.122897496,0.734991727,2.109215901,137
1.424828025,0.122897496,0.737715938,2.111940112,138
1.482686207,0.005131259,1.342285903,1.623086511,139
1.491498615,0.122897496,0.804386527,2.178610702,140
1.526056303,0.122897496,0.838944217,2.21316839,141
1.54229861,0.122897496,0.855186522,2.229410697,142
1.54496443,0.122897496,0.857852343,2.232076517,143
1.609437912,0.04,1.217437912,2.001437912,144
1.678847364,0.122897496,0.991735276,2.365959451,145
1.755391825,0.007540693,1.585190979,1.925592671,146
1.760010771,0.122897496,1.072898684,2.447122858,147
1.779783278,0.122897496,1.092671191,2.466895365,148
1.82056146,0.122897496,1.133449373,2.507673548,149
1.822186156,0.122897496,1.135074069,2.509298243,150
1.826545585,0.122897496,1.139433498,2.513657672,151
1.84582667,0.092173115,1.250770169,2.44088317,152
1.84582669,0.092173125,1.250770157,2.440883224,153
1.849110766,0.122897496,1.161998679,2.536222853,154
1.897119986,8.363333333,-3.771087961,7.565327933,155
1.90397146,0.122897496,1.216859373,2.591083547,156
1.965203352,0.122897496,1.278091264,2.652315439,157
1.967282903,0.122897496,1.280170816,2.654394991,158
2.079441542,0.0625,1.589441542,2.569441542,159
2.172378579,0.122897496,1.485266491,2.859490666,160
2.222542385,0.122897496,1.535430298,2.909654473,161
2.944439003,21.48938255,-6.141462823,12.03034083,162
