ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,species,unit,cellulase.ck (nmol h-1 g-1 soil),cellulase.csd,cellulase.cn,cellulase.t,cellulase.tsd,cellulase.tn,rrcellulase,varcellulase
21,4,Bandick,1999,Soil Biology and Biochemistry,4,-122.7499222,45.28161305,temperate,loam,0-10,5,upland,224,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,5.34E+01,1.09E+01,4,79.9,12.2350071,4,0.402965107,0.016278351
22,4,Bandick,1999,Soil Biology and Biochemistry,4,-122.7499222,45.28161305,temperate,loam,0-10,5,upland,224,no,conventional,rainfed,mixture,2,incorporated,BG,ug PNP h-1 g-1 soil,5.34E+01,1.09E+01,4,80.7,12.3575103,4,0.412927829,0.016278351
23,4,Bandick,1999,Soil Biology and Biochemistry,4,-122.7499222,45.28161305,temperate,loam,0-10,6,upland,224,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,5.25E+01,1.08E+01,4,56.5,8.6517885,4,0.073427469,0.016441714
24,4,Bandick,1999,Soil Biology and Biochemistry,4,-122.7499222,45.28161305,temperate,loam,0-10,6,upland,224,no,conventional,rainfed,mixture,2,incorporated,BG,ug PNP h-1 g-1 soil,5.25E+01,1.08E+01,4,64.9,9.9380721,4,0.212034454,0.016441714
25,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.35E+02,2.77E+01,3,1.73E+02,26.491317,3,0.248016816,0.021849817
26,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.35E+02,2.77E+01,3,1.42E+02,21.744318,3,0.050552279,0.021849817
27,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.35E+02,2.77E+01,3,2.23E+02,34.147767,3,0.501896993,0.021849817
28,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.35E+02,2.77E+01,3,1.77E+02,27.103833,3,0.270874954,0.021849817
29,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,2.19E+02,4.49E+01,3,2.62E+02,40.119798,3,0.179272774,0.021827617
30,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,2.19E+02,4.49E+01,3,1.81E+02,27.716349,3,-0.190574699,0.021827617
